result_id,status,repair_field,old_value,new_value,score,D_score,E_score,execution_estimate,athlete_name,event_name,event_year,apparatus,vt_attempt,format,round,discipline,category,represented_country,reason
43194,would_apply,D_score,1.0,,0.85,1.0,,-0.15,Abaka Djala,African Championships,2018,BB,,INDIVIDUAL,FINAL,WAG,SENIOR,CMR,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
2946,would_apply,D_score,2.4,,12.9,2.4,,10.5,Andrew Flynn,African Championships,2018,VT,2,INDIVIDUAL,FINAL,MAG,JUNIOR,RSA,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
10514,would_apply,D_score,1.3,,1.1,1.3,,-0.2,Domingos Muatchicumba,African Championships,2018,PB,,INDIVIDUAL,FINAL,MAG,SENIOR,ANG,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
10519,would_apply,D_score,1.2,,0.733,1.2,,-0.467,Domingos Muatchicumba,African Championships,2018,SR,,APPARATUS,FINAL,MAG,SENIOR,ANG,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
83253,would_apply,D_score,2.0,,12.35,2.0,,10.35,Sihem Hamidi,African Championships,2018,VT,2,INDIVIDUAL,FINAL,WAG,JUNIOR,ALG,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
41520,would_apply,D_score,1.3,,0.6,1.3,,-0.7,Xavier Bernardo,African Championships,2018,PH,,INDIVIDUAL,FINAL,MAG,SENIOR,ANG,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
930,would_apply,D_score,2.2,,0.0,2.2,,-2.2,Ahmed Shishir,Asian Junior Championships,2018,PH,,INDIVIDUAL,FINAL,MAG,JUNIOR,BAN,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
10613,would_apply,D_score,1.2,,1.15,1.2,,-0.05,Don Uddith Sankalpa Yaddhige,Asian Junior Championships,2018,HB,,INDIVIDUAL,FINAL,MAG,JUNIOR,SRI,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
22364,would_apply,D_score,1.5,,0.0,1.5,,-1.5,Khumi Sangkheong,Asian Junior Championships,2018,PH,,INDIVIDUAL,FINAL,MAG,JUNIOR,BAN,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
36420,would_apply,D_score,1.6,,1.5,1.6,,-0.1,Shafiqul Alom Md,Asian Junior Championships,2018,PH,,INDIVIDUAL,FINAL,MAG,JUNIOR,BAN,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
35686,would_apply,D_score,2.8,,2.2,2.8,,-0.6,Scott Brooks,Australian Championships,2018,PH,,APPARATUS,FINAL,MAG,SENIOR,AUS,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
75867,would_apply,D_score,3.3,,13.466,3.3,,10.166,Miriana Perkins,Australian Classic,2018,VT,2,INDIVIDUAL,QUALIFICATION,WAG,JUNIOR,AUS,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
29760,would_apply,D_score,1.5,,0.3,1.5,,-1.2,Nicolas Ivkic,Austrian Championships,2018,PH,,INDIVIDUAL,FINAL,MAG,JUNIOR,AUT,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
25477,would_apply,D_score,0.7,,0.0,0.7,,-0.7,Lukas Kranzlmüller,Austrian Team Open,2018,HB,,INDIVIDUAL,FINAL,MAG,SENIOR,AUT,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
5342,would_apply,D_score,1.0,,0.55,1.0,,-0.45,Blake McManus,British Championships,2018,PH,,INDIVIDUAL,FINAL,MAG,JUNIOR,GBR,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
6353,would_apply,D_score,1.8,,1.45,1.8,,-0.35,Camron Connelly,British Championships,2018,PH,,INDIVIDUAL,FINAL,MAG,JUNIOR,GBR,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
12112,would_apply,D_score,0.9,,0.55,0.9,,-0.35,Euan McLellan,British Championships,2018,FX,,INDIVIDUAL,FINAL,MAG,JUNIOR,GBR,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
27344,would_apply,D_score,2.2,,0.85,2.2,,-1.35,Matthew Heaney,British Championships,2018,PH,,INDIVIDUAL,FINAL,MAG,JUNIOR,GBR,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
15060,would_apply,D_score,5.2,,3.45,5.2,,-1.75,Gu Xinhong,Chinese Championships,2018,SR,,INDIVIDUAL,FINAL,MAG,SENIOR,CHN,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
47466,would_apply,D_score,1.0,,0.85,1.0,,-0.15,Angie Gonzalez,Colombian Championships,2018,BB,,INDIVIDUAL,FINAL,WAG,SENIOR,COL,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
47468,would_apply,D_score,0.2,,0.0,0.2,,-0.2,Angie Gonzalez,Colombian Championships,2018,UB,,INDIVIDUAL,FINAL,WAG,SENIOR,COL,Estimated E score outside the valid 0-10 range; D_score cannot be trusted without source confirmation and is marked not available
