result_id,status,field,old_value,new_value,current_value,athlete_name,event_name,event_year,apparatus,format,round,discipline,category,source_file,source_sheet,source_row,reason
416930,already_corrected,score,1205.0,12.05,12.05,Daniel Serban,German Junior Championships,2023,PB,INDIVIDUAL,QUALIFICATION,MAG,JUNIOR,Results 2023.xlsx,MAG,2352,Missing decimal in Gymternet source cell: PB 1205 -> 12.05
246431,already_corrected,score,142.33,14.233,14.233,Keisuke Komori,All-Japan Team Championships,2021,FX,INDIVIDUAL,FINAL,MAG,SENIOR,Results 2021.xlsx,MAG,3639,Missing decimal in Gymternet source cell: FX 142.33 -> 14.233
260503,already_corrected,score,110.65,11.065,11.065,Silas Bortt,4th Bundesliga,2021,PB,INDIVIDUAL,FINAL,MAG,SENIOR,Results 2021.xlsx,MAG,6784,Missing decimal in Gymternet source cell: PB 110.65 -> 11.065
278214,already_corrected,D_score,22.0,2.2,2.2,Elene Sanna,Italian Gold Championships,2021,UB,INDIVIDUAL,FINAL,WAG,JUNIOR,Results 2021.xlsx,WAG D,1908,Missing decimal in Gymternet source cell: UB D score 22 -> 2.2
765954,already_corrected,score,1.2,13.2,13.2,Giuseppe Bertoli,Champion's Cup,2026,VT,INDIVIDUAL,FINAL,MAG,SENIOR,Results 2026.xlsx,MAG,2969,Gymternet source typo in Champion's Cup AA VT: VT 1.2 is inconsistent with VT AVG 12.85 and VT SUM D 7.6; inferred VT1 score is 13.2
765956,already_corrected,score,24.5,12.5,12.5,Giuseppe Bertoli,Champion's Cup,2026,VT,INDIVIDUAL,FINAL,MAG,SENIOR,Results 2026.xlsx,MAG,2969,Derived VT attempt 2 from corrected VT1: (2 * VT AVG 12.85) - 13.2 = 12.5
186011,applied,D_score,12.8,,12.8,Ruby van Dijk,2nd Bundesliga,2019,VT,INDIVIDUAL,FINAL,WAG,SENIOR,Results 2019.xlsx,WAG D,,Invalid D_score above 10; source D sheet value matches the final score and cannot be treated as a valid difficulty score
241232,applied,D_score,11.5,,11.5,Ham Chaewoo,South Korean Championships,2021,VT,INDIVIDUAL,FINAL,MAG,SENIOR,Results 2021.xlsx,MAG D,,Invalid D_score above 10; source D sheet value matches the final score and cannot be treated as a valid difficulty score
260730,applied,D_score,11.6,,11.6,Son Euidam,South Korean Championships,2021,VT,INDIVIDUAL,FINAL,MAG,SENIOR,Results 2021.xlsx,MAG D,,Invalid D_score above 10; source D sheet value matches the final score and cannot be treated as a valid difficulty score
298429,applied,D_score,13.0,,13.0,Petra Fanesi,Italian Gold Championships,2021,UB,INDIVIDUAL,FINAL,WAG,JUNIOR,Results 2021.xlsx,WAG D,,"Invalid D_score above 10; no reliable correction can be inferred from the source, so the component is marked not available"
